# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1201471	1202253	-	QNG15919.1			uncharacterized protein			GWK60_K12001	783	260	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1202874	1203881	-							GWK60_K12023	1008		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1202874	1203881	-			QNG15920.1	uncharacterized protein			GWK60_K12023	1008		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1202874	1203881	-	QNG15920.1			uncharacterized protein			GWK60_K12023	1008	335	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1205594	1206178	+					PHO88		GWK60_K12045	585		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1205594	1206178	+			QNG15921.1	PHO88	PHO88		GWK60_K12045	585		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1205594	1206178	+	QNG15921.1			PHO88	PHO88		GWK60_K12045	585	194	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1206626	1207243	-							GWK60_K12067	618		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1206626	1207243	-			QNG15922.1	uncharacterized protein			GWK60_K12067	618		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1206626	1207243	-	QNG15922.1			uncharacterized protein			GWK60_K12067	618	205	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1207577	1209934	+							GWK60_K12089	2358		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1207577	1209934	+			QNG15923.1	uncharacterized protein			GWK60_K12089	2358		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1207577	1209934	+	QNG15923.1			uncharacterized protein			GWK60_K12089	2358	785	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1210322	1211674	+							GWK60_K12111	1353		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1210322	1211674	+			QNG15924.1	uncharacterized protein			GWK60_K12111	1353		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1210322	1211674	+	QNG15924.1			uncharacterized protein			GWK60_K12111	1353	450	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1213477	1215942	+							GWK60_K12133	2466		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1213477	1215942	+			QNG15925.1	uncharacterized protein			GWK60_K12133	2466		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1213477	1215942	+	QNG15925.1			uncharacterized protein			GWK60_K12133	2466	821	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1216680	1219715	+							GWK60_K12155	3036		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1216680	1219715	+			QNG15926.1	uncharacterized protein			GWK60_K12155	3036		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1216680	1219715	+	QNG15926.1			uncharacterized protein			GWK60_K12155	3036	1011	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1219850	1221103	-					STE2		GWK60_K12177	1254		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1219850	1221103	-			QNG15927.1	STE2	STE2		GWK60_K12177	1254		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1219850	1221103	-	QNG15927.1			STE2	STE2		GWK60_K12177	1254	417	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1221732	1223237	+							GWK60_K12199	1506		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1221732	1223237	+			QNG15928.1	uncharacterized protein			GWK60_K12199	1506		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1221732	1223237	+	QNG15928.1			uncharacterized protein			GWK60_K12199	1506	501	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1223665	1224549	+							GWK60_K12221	885		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1223665	1224549	+			QNG15929.1	uncharacterized protein			GWK60_K12221	885		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1223665	1224549	+	QNG15929.1			uncharacterized protein			GWK60_K12221	885	294	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1224873	1225955	+							GWK60_K12243	1083		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1224873	1225955	+			QNG15930.1	uncharacterized protein			GWK60_K12243	1083		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1224873	1225955	+	QNG15930.1			uncharacterized protein			GWK60_K12243	1083	360	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1226139	1227263	-							GWK60_K12265	1125		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1226139	1227263	-			QNG15931.1	uncharacterized protein			GWK60_K12265	1125		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1226139	1227263	-	QNG15931.1			uncharacterized protein			GWK60_K12265	1125	374	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1229998	1230987	-					HAC1		GWK60_K12287	990		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1229998	1230987	-			QNG15932.1	HAC1	HAC1		GWK60_K12287	990		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1229998	1230987	-	QNG15932.1			HAC1	HAC1		GWK60_K12287	990	329	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1241324	1246372	+					RIM15		GWK60_K12309	5049		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1241324	1246372	+			QNG15933.1	RIM15	RIM15		GWK60_K12309	5049		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1241324	1246372	+	QNG15933.1			RIM15	RIM15		GWK60_K12309	5049	1682	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1246459	1249797	-							GWK60_K12331	3339		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1246459	1249797	-			QNG15934.1	uncharacterized protein			GWK60_K12331	3339		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1246459	1249797	-	QNG15934.1			uncharacterized protein			GWK60_K12331	3339	1112	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1251226	1252203	+							GWK60_K12353	978		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1251226	1252203	+			QNG15935.1	uncharacterized protein			GWK60_K12353	978		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1251226	1252203	+	QNG15935.1			uncharacterized protein			GWK60_K12353	978	325	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1252504	1256484	-							GWK60_K12375	3981		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1252504	1256484	-			QNG15936.1	uncharacterized protein			GWK60_K12375	3981		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1252504	1256484	-	QNG15936.1			uncharacterized protein			GWK60_K12375	3981	1326	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1258370	1259728	-					TUB2		GWK60_K12397	1359		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1258370	1259728	-			QNG15937.1	TUB2	TUB2		GWK60_K12397	1359		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1258370	1259728	-	QNG15937.1			TUB2	TUB2		GWK60_K12397	1359	452	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1262006	1262626	+							GWK60_K12419	621		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1262006	1262626	+			QNG15938.1	uncharacterized protein			GWK60_K12419	621		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1262006	1262626	+	QNG15938.1			uncharacterized protein			GWK60_K12419	621	206	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1264073	1266089	+					ACT1		GWK60_K12441	2017		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1264073	1266089	+			QNG15939.1	ACT1	ACT1		GWK60_K12441	1128		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1264073	1266089	+	QNG15939.1			ACT1	ACT1		GWK60_K12441	1128	375	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1266629	1268083	-							GWK60_K12463	1455		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1266629	1268083	-			QNG15940.1	uncharacterized protein			GWK60_K12463	1455		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1266629	1268083	-	QNG15940.1			uncharacterized protein			GWK60_K12463	1455	484	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1268372	1270237	-							GWK60_K12485	1866		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1268372	1270237	-			QNG15941.1	uncharacterized protein			GWK60_K12485	1866		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1268372	1270237	-	QNG15941.1			uncharacterized protein			GWK60_K12485	1866	621	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1271497	1273623	+							GWK60_K12507	2127		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1271497	1273623	+			QNG15942.1	uncharacterized protein			GWK60_K12507	2127		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1271497	1273623	+	QNG15942.1			uncharacterized protein			GWK60_K12507	2127	708	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1273928	1274860	+							GWK60_K12529	933		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1273928	1274860	+			QNG15943.1	uncharacterized protein			GWK60_K12529	933		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1273928	1274860	+	QNG15943.1			uncharacterized protein			GWK60_K12529	933	310	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1275140	1275658	-							GWK60_K12551	519		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1275140	1275658	-			QNG15944.1	uncharacterized protein			GWK60_K12551	519		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1275140	1275658	-	QNG15944.1			uncharacterized protein			GWK60_K12551	519	172	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1276515	1277180	+							GWK60_K12573	666		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1276515	1277180	+			QNG15945.1	uncharacterized protein			GWK60_K12573	666		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1276515	1277180	+	QNG15945.1			uncharacterized protein			GWK60_K12573	666	221	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1278248	1279015	+					SEC53		GWK60_K12595	768		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1278248	1279015	+			QNG15946.1	SEC53	SEC53		GWK60_K12595	768		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1278248	1279015	+	QNG15946.1			SEC53	SEC53		GWK60_K12595	768	255	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1279429	1280046	-							GWK60_K12617	618		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1279429	1280046	-			QNG15947.1	uncharacterized protein			GWK60_K12617	618		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1279429	1280046	-	QNG15947.1			uncharacterized protein			GWK60_K12617	618	205	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1280537	1282750	-							GWK60_K12639	2214		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1280537	1282750	-			QNG15948.1	uncharacterized protein			GWK60_K12639	2214		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1280537	1282750	-	QNG15948.1			uncharacterized protein			GWK60_K12639	2214	737	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1283613	1284899	+							GWK60_K12661	1287		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1283613	1284899	+			QNG15949.1	uncharacterized protein			GWK60_K12661	1287		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1283613	1284899	+	QNG15949.1			uncharacterized protein			GWK60_K12661	1287	428	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1284947	1286653	-							GWK60_K12683	1707		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1284947	1286653	-			QNG15950.1	uncharacterized protein			GWK60_K12683	1707		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1284947	1286653	-	QNG15950.1			uncharacterized protein			GWK60_K12683	1707	568	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1287338	1288426	-							GWK60_K12705	1089		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1287338	1288426	-			QNG15951.1	uncharacterized protein			GWK60_K12705	1089		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1287338	1288426	-	QNG15951.1			uncharacterized protein			GWK60_K12705	1089	362	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1289594	1291762	-					BMT7		GWK60_K12727	2169		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1289594	1291762	-			QNG15952.1	BMT7	BMT7		GWK60_K12727	2169		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1289594	1291762	-	QNG15952.1			BMT7	BMT7		GWK60_K12727	2169	722	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1297305	1300118	+					AED2		GWK60_K12749	2814		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1297305	1300118	+			QNG15953.1	AED2	AED2		GWK60_K12749	2814		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1297305	1300118	+	QNG15953.1			AED2	AED2		GWK60_K12749	2814	937	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1303398	1306841	+					AED1		GWK60_K12771	3444		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1303398	1306841	+			QNG15954.1	AED1	AED1		GWK60_K12771	3444		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	K	CP048240.1	1303398	1306841	+	QNG15954.1			AED1	AED1		GWK60_K12771	3444	1147	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	3522	8798	-							GWK60_L00011	5277		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	3522	8798	-			QNG15955.1	uncharacterized protein			GWK60_L00011	5277		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	3522	8798	-	QNG15955.1			uncharacterized protein			GWK60_L00011	5277	1758	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	12780	15728	-					EPA23		GWK60_L00033	2949		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	12780	15728	-			QNG15956.1	EPA23	EPA23		GWK60_L00033	2949		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	12780	15728	-	QNG15956.1			EPA23	EPA23		GWK60_L00033	2949	982	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	18474	18971	-							GWK60_L00055	498		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	18474	18971	-			QNG15957.1	uncharacterized protein			GWK60_L00055	498		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	18474	18971	-	QNG15957.1			uncharacterized protein			GWK60_L00055	498	165	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	19647	20201	-							GWK60_L00077	555		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	19647	20201	-			QNG15958.1	uncharacterized protein			GWK60_L00077	555		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	19647	20201	-	QNG15958.1			uncharacterized protein			GWK60_L00077	555	184	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	21347	23014	-							GWK60_L00099	1668		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	21347	23014	-			QNG15959.1	uncharacterized protein			GWK60_L00099	1668		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	21347	23014	-	QNG15959.1			uncharacterized protein			GWK60_L00099	1668	555	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	24992	25384	-							GWK60_L00121	393		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	24992	25384	-			QNG15960.1	uncharacterized protein			GWK60_L00121	393		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	24992	25384	-	QNG15960.1			uncharacterized protein			GWK60_L00121	393	130	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	25794	26909	+							GWK60_L00143	1116		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	25794	26909	+			QNG15961.1	uncharacterized protein			GWK60_L00143	1116		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	25794	26909	+	QNG15961.1			uncharacterized protein			GWK60_L00143	1116	371	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	27726	28229	+							GWK60_L00165	504		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	27726	28229	+			QNG15962.1	uncharacterized protein			GWK60_L00165	504		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	27726	28229	+	QNG15962.1			uncharacterized protein			GWK60_L00165	504	167	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	28423	28980	-							GWK60_L00187	558		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	28423	28980	-			QNG15963.1	uncharacterized protein			GWK60_L00187	558		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	28423	28980	-	QNG15963.1			uncharacterized protein			GWK60_L00187	558	185	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	30081	30425	-							GWK60_L00209	345		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	30081	30425	-			QNG15964.1	uncharacterized protein			GWK60_L00209	345		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	30081	30425	-	QNG15964.1			uncharacterized protein			GWK60_L00209	345	114	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	30891	32363	+							GWK60_L00231	1473		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	30891	32363	+			QNG15965.1	uncharacterized protein			GWK60_L00231	1473		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	30891	32363	+	QNG15965.1			uncharacterized protein			GWK60_L00231	1473	490	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	33343	33753	-							GWK60_L00253	411		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	33343	33753	-			QNG15966.1	uncharacterized protein			GWK60_L00253	411		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	33343	33753	-	QNG15966.1			uncharacterized protein			GWK60_L00253	411	136	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	34334	35083	-							GWK60_L00275	750		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	34334	35083	-			QNG15967.1	uncharacterized protein			GWK60_L00275	750		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	34334	35083	-	QNG15967.1			uncharacterized protein			GWK60_L00275	750	249	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	35743	37074	-							GWK60_L00297	1332		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	35743	37074	-			QNG15968.1	uncharacterized protein			GWK60_L00297	1332		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	35743	37074	-	QNG15968.1			uncharacterized protein			GWK60_L00297	1332	443	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	38979	40844	-							GWK60_L00319	1866		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	38979	40844	-			QNG15969.1	uncharacterized protein			GWK60_L00319	1866		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	38979	40844	-	QNG15969.1			uncharacterized protein			GWK60_L00319	1866	621	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	41238	41909	+							GWK60_L00341	672		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	41238	41909	+			QNG15970.1	uncharacterized protein			GWK60_L00341	672		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	41238	41909	+	QNG15970.1			uncharacterized protein			GWK60_L00341	672	223	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	42381	42617	-							GWK60_L00363	237		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	42381	42617	-			QNG15971.1	uncharacterized protein			GWK60_L00363	237		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	42381	42617	-	QNG15971.1			uncharacterized protein			GWK60_L00363	237	78	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	44623	44940	+							GWK60_L00385	318		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	44623	44940	+			QNG15972.1	uncharacterized protein			GWK60_L00385	318		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	44623	44940	+	QNG15972.1			uncharacterized protein			GWK60_L00385	318	105	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	45677	46321	+							GWK60_L00407	645		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	45677	46321	+			QNG15973.1	uncharacterized protein			GWK60_L00407	645		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	45677	46321	+	QNG15973.1			uncharacterized protein			GWK60_L00407	645	214	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	46972	47547	+							GWK60_L00429	576		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	46972	47547	+			QNG15974.1	uncharacterized protein			GWK60_L00429	576		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	46972	47547	+	QNG15974.1			uncharacterized protein			GWK60_L00429	576	191	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	47962	48744	+							GWK60_L00451	783		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	47962	48744	+			QNG15975.1	uncharacterized protein			GWK60_L00451	783		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	47962	48744	+	QNG15975.1			uncharacterized protein			GWK60_L00451	783	260	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	48849	50822	-							GWK60_L00473	1974		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	48849	50822	-			QNG15976.1	uncharacterized protein			GWK60_L00473	1974		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	48849	50822	-	QNG15976.1			uncharacterized protein			GWK60_L00473	1974	657	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	51198	51767	+							GWK60_L00495	570		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	51198	51767	+			QNG15977.1	uncharacterized protein			GWK60_L00495	570		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	51198	51767	+	QNG15977.1			uncharacterized protein			GWK60_L00495	570	189	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	51978	52808	-							GWK60_L00517	831		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	51978	52808	-			QNG15978.1	uncharacterized protein			GWK60_L00517	831		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	51978	52808	-	QNG15978.1			uncharacterized protein			GWK60_L00517	831	276	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	53386	53775	-							GWK60_L00539	390		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	53386	53775	-			QNG15979.1	uncharacterized protein			GWK60_L00539	390		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	53386	53775	-	QNG15979.1			uncharacterized protein			GWK60_L00539	390	129	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	54636	56228	+							GWK60_L00561	1593		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	54636	56228	+			QNG15980.1	uncharacterized protein			GWK60_L00561	1593		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	54636	56228	+	QNG15980.1			uncharacterized protein			GWK60_L00561	1593	530	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	56833	57789	-							GWK60_L00583	957		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	56833	57789	-			QNG15981.1	uncharacterized protein			GWK60_L00583	957		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	56833	57789	-	QNG15981.1			uncharacterized protein			GWK60_L00583	957	318	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	L	CP048241.1	58790	59926	-							GWK60_L00605	1137		
